quantity,component,metric,value
orientation,all,mean_deg,0.5068461389101417
orientation,all,median_deg,0.4676448952795011
orientation,all,p95_deg,0.970485564529978
orientation,all,maximum_deg,3.5235362405534514
orientation,all,count,10500
angular_velocity,x,rmse,0.3682020518734494
angular_velocity,x,mae,0.2702118545912561
angular_velocity,x,bias,0.01037217345408031
angular_velocity,x,r2,0.9995770368027067
angular_velocity,x,pearson,0.9997940215128331
angular_velocity,x,count,10500
angular_velocity,y,rmse,0.7486657699977165
angular_velocity,y,mae,0.3249819257458051
angular_velocity,y,bias,-0.03441419807786033
angular_velocity,y,r2,0.9981209958485177
angular_velocity,y,pearson,0.9990671345196502
angular_velocity,y,count,10500
angular_velocity,z,rmse,0.4176104005586603
angular_velocity,z,mae,0.2951060534396342
angular_velocity,z,bias,-0.10046752379834652
angular_velocity,z,r2,0.9994304807866818
angular_velocity,z,pearson,0.9997427503478235
angular_velocity,z,count,10500
