quantity,component,metric,value
orientation,all,mean_deg,0.38614359798346376
orientation,all,median_deg,0.32172650387081003
orientation,all,p95_deg,0.8639271024360666
orientation,all,maximum_deg,2.9009162820015777
orientation,all,count,10500
angular_velocity,x,rmse,0.5747258331282938
angular_velocity,x,mae,0.3903804710677692
angular_velocity,x,bias,0.010040972677724701
angular_velocity,x,r2,0.9989694914280887
angular_velocity,x,pearson,0.9994895328738893
angular_velocity,x,count,10500
angular_velocity,y,rmse,1.2403057102189008
angular_velocity,y,mae,0.4947090457010837
angular_velocity,y,bias,0.022138618166957582
angular_velocity,y,r2,0.9948428558376017
angular_velocity,y,pearson,0.9974339018572874
angular_velocity,y,count,10500
angular_velocity,z,rmse,0.6464619955019028
angular_velocity,z,mae,0.4111932591909454
angular_velocity,z,bias,0.008567864443574633
angular_velocity,z,r2,0.9986352542058986
angular_velocity,z,pearson,0.9993182978086481
angular_velocity,z,count,10500
