sector,target,axis,rmse,r2
carrier,angular_velocity,x,18.349562787490196,-0.05046510187645481
carrier,angular_velocity,y,17.329995292999243,-0.006812647523241289
carrier,angular_velocity,z,17.82940880472386,-0.0381011168182992
invariants,angular_velocity,x,18.244739567042373,-0.03849766466315474
invariants,angular_velocity,y,17.165558006194612,0.012203178293784589
invariants,angular_velocity,z,17.651793526007484,-0.01752116174943885
artifacts,angular_velocity,x,18.929347329107916,-0.11789616799009472
artifacts,angular_velocity,y,17.490488217336186,-0.025547162790031663
artifacts,angular_velocity,z,17.98058708685662,-0.05578018821619901
omega,angular_velocity,x,0.2882743213003501,0.999740736067551
omega,angular_velocity,y,0.41192014135616717,0.9994311761091128
omega,angular_velocity,z,0.266751627925153,0.9997676300687467
tangent,angular_velocity,x,11.913696731777588,0.5571840364288366
tangent,angular_velocity,y,12.437706875637485,0.48140012494599227
tangent,angular_velocity,z,11.50897103700152,0.5674475594239853
motion_invariants,angular_velocity,x,15.724649335842107,0.22857781211313644
motion_invariants,angular_velocity,y,14.859187679555063,0.25981222290840167
motion_invariants,angular_velocity,z,14.054903265585054,0.35490824042060853
motion_artifacts,angular_velocity,x,1.30155428019987,0.9947148811654419
motion_artifacts,angular_velocity,y,1.6139826615133663,0.9912672806559178
motion_artifacts,angular_velocity,z,1.5796470801895004,0.9918513453803165
