representation,quantity,score,mean_deg,median_deg,p95_deg,r2_x,r2_y,r2_z,rmse_x,rmse_y,rmse_z
content_last,orientation,0.205975127584165,0.205975127584165,0.15870954757881914,0.5327532954076126,,,,,,
content_last,angular_velocity,-0.10129106976231024,,,,-0.14259274667633148,-0.08162391564006843,-0.07965654697053082,19.137299143452733,17.96231250541597,18.1827650712853
content_difference,orientation,53.78989772357841,53.78989772357841,46.88711524887732,142.67195413883334,,,,,,
content_difference,angular_velocity,-0.07555109163310895,,,,-0.08428088152184432,-0.09039402197252566,-0.05197837140495687,18.64257136498167,18.03498718901444,17.94818434942299
spatial_map_last_mean,orientation,8.880041789435133,8.880041789435133,6.274636127898333,24.999571682635494,,,,,,
spatial_map_last_mean,angular_velocity,-0.05128864938341674,,,,-0.09974739099968222,-0.029340121814931397,-0.024778435335636617,18.775062195623313,17.52280216740601,17.714630788478427
spatial_feature_rate_mean,orientation,57.38345425909917,57.38345425909917,47.40367105211339,153.4975667787703,,,,,,
spatial_feature_rate_mean,angular_velocity,-0.02558274840312169,,,,-0.034386340781968006,-0.027512020732123332,-0.014849883695273736,18.208589396149257,17.507235063598504,17.628607946371428
motion_forward_mean,orientation,40.31230674094302,40.31230674094302,26.537422445435126,147.41101083267483,,,,,,
motion_forward_mean,angular_velocity,0.9994918847194431,,,,0.9996968280143934,0.9990724670812212,0.9997063590627144,0.3117306091906111,0.5260036687005392,0.29986475059847195
motion_backward_mean,orientation,42.31957816188605,42.31957816188605,29.27020406848791,149.6423941844255,,,,,,
motion_backward_mean,angular_velocity,0.9995024929065895,,,,0.9996955033783694,0.9990731777938381,0.9997387975475613,0.31241088234943426,0.5258021076152034,0.2828171498751843
predicted_next_last,orientation,0.32420774150654214,0.32420774150654214,0.2346365293130011,0.8470970745785577,,,,,,
predicted_next_last,angular_velocity,0.958349186309647,,,,0.9677368370419068,0.9527357022770532,0.9545750196099813,3.21579521785125,3.7548337419030426,3.7296191872272773
