sector,target,axis,rmse,r2
carrier,angular_velocity,x,18.16420717005134,-0.029350027532071943
carrier,angular_velocity,y,17.435061714217685,-0.01905764382761732
carrier,angular_velocity,z,17.94594631596816,-0.0517160484568131
invariants,angular_velocity,x,18.156137688256514,-0.02843564947187671
invariants,angular_velocity,y,17.157926761755576,0.013081267243705286
invariants,angular_velocity,z,17.60157310030929,-0.011739578815164853
artifacts,angular_velocity,x,18.70857409871611,-0.0919721549632031
artifacts,angular_velocity,y,17.602817986551194,-0.038762277139624324
artifacts,angular_velocity,z,17.965300068058788,-0.053985711702158934
omega,angular_velocity,x,0.3280463731102877,0.9996642618690013
omega,angular_velocity,y,0.5427033508401632,0.9990126371580094
omega,angular_velocity,z,0.30991603845008747,0.9996863438001159
tangent,angular_velocity,x,15.52332280935279,0.24820477163651156
tangent,angular_velocity,y,15.616694901232432,0.1824204417221822
tangent,angular_velocity,z,16.091138993436036,0.15444990051866914
motion_invariants,angular_velocity,x,5.395750859914352,0.9091690273927892
motion_invariants,angular_velocity,y,7.773376335653656,0.7974318504923863
motion_invariants,angular_velocity,z,3.858746040202846,0.9513751621445482
motion_artifacts,angular_velocity,x,0.8939935956582192,0.9975065595382309
motion_artifacts,angular_velocity,y,1.1028070048859298,0.9959229052440169
motion_artifacts,angular_velocity,z,0.903466463035331,0.9973344315181528
